,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question,mentioned techs
491,"Internet of Things (IoT) is a part of the 5G/smart city concept that is emerging right before our eyes. IoT is important because it directly impacts many ways in which people are doing business, take part in social activities, develop and use technology and more.IoT is important because:Internet of Things (IoT) is a part of the 5G/smart city concept that is emerging right before our eyes. IoT is important because it directly impacts many ways in which people are doing business, take part in social activities, develop and use technology and more.IoT is important because:As Brendan O’Brien, a producer, once said:The IoT enables a myriad of applications ranging from the micro the macro, and from the trivial to the critical.A wristband you use every day to track your steps is trivial, a company that uses a sophisticated computer and software in your car to connect to your phone, a traffic system and a watch on your doctor’s wrist can prove critical in some situations. To achieve that, companies heavily invest in infrastructure - additional cell towers, software that power up both tech behind it and the tech monitoring IoT revolution.In truth, IoT requires software to work, it’s in the heart of it. For high-end, tailored software solution in the field of IoT and in a broader scope, Industry 4.0, visit",264 followers,Jaroslaw Scislak,99,136,232.6K,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not,IoT
492,"Because it’s not headed anywhere. And it’s obvious.The entire IoT ‘marketecture’ is just a sales pitch. There is no technical foundation for it. There are no changes to the network. No changes to the host.Just folks slamming microprocessors into devices that don’t need them and selling them to you at a premium.Remember the smart TV craze? What became of that? Well, we found out the hard way: people don’t need smart TVs. Yes, they need a streaming box, but it does NOT need to be embedded in the TV and it’s frankly much harder if it is. So there’s no pent up demand, no capabilities that will beBecause it’s not headed anywhere. And it’s obvious.The entire IoT ‘marketecture’ is just a sales pitch. There is no technical foundation for it. There are no changes to the network. No changes to the host.Just folks slamming microprocessors into devices that don’t need them and selling them to you at a premium.Remember the smart TV craze? What became of that? Well, we found out the hard way: people don’t need smart TVs. Yes, they need a streaming box, but it does NOT need to be embedded in the TV and it’s frankly much harder if it is. So there’s no pent up demand, no capabilities that will be enabled that consumers will see value in.And to add to it, we’re finally becoming aware of the security and privacy implications of having smart devices. IoT represents a giant threat: millions of washing machines that now have an IP stack that has a vulnerability in it that in turn allows Bad Guys to compromise your entire home network. Refrigerators that form a giant botnet that launches the Mother of All DDoS attacks.No thank you. It’s just a bad idea.Let’s find some real benefits before we start taking on all of the downsides.",540 followers,Tony Li,99,14.6K,50.4M,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not,IoT
497,There have been a few concerns regarding the IoT especially those related to security threats and issues. It is shocking to know that even the simple home appliances can act as spy agents.The security of the Internet of Things cannot be compromised at any juncture and hence all optimal steps need to be ensured to protect the most confidential and personal data from getting into the hands of people who can misuse it and create some big trouble.GThere have been a few concerns regarding the IoT especially those related to security threats and issues. It is shocking to know that even the simple home appliances can act as spy agents.The security of the Internet of Things cannot be compromised at any juncture and hence all optimal steps need to be ensured to protect the most confidential and personal data from getting into the hands of people who can misuse it and create some big trouble.Get Familiar with the Security of The Internet of Things,0 followers,Steven Parker,9,0,0,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not,wearables
498,"IoT engineering involves both hardware and software technologies. Even if you're in the software domain and want to stay there, it will be really helpful to understand the full picture. I suggest going through all the IoT stack with practical exercises, and only then deciding where to focus.These are the steps we have used in IoT trainings:IoT engineering involves both hardware and software technologies. Even if you're in the software domain and want to stay there, it will be really helpful to understand the full picture. I suggest going through all the IoT stack with practical exercises, and only then deciding where to focus.These are the steps we have used in IoT trainings:After this you'll be able to decide which part of the stack to go deeper into.Disclosure: I'm the founder of the Ubidots IoT platform.",110 followers,Agustín Peláez,9,0,0,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not,IoT
500,"The Internet of Things is helping to make the home smart and production automated. With the advent of 5G, the possibilities of interconnected networks should expand significantly. IoT application development services are becoming more and more relevant every day.These numbers iThe Internet of Things is helping to make the home smart and production automated. With the advent of 5G, the possibilities of interconnected networks should expand significantly. IoT application development services are becoming more and more relevant every day.These numbers illustrate well the relevance of the direction of the Internet of Things in the modern world and in the future. It is important to understand that IoT is already an integral part of our life and every year this part will only grow.",0 followers,Stein Haga,9,0,0,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not,IoT
501,Presenting to you Amazon's Dash button​Presenting to you Amazon's Dash button​,123 followers,Akashat Jain,9,353,284.1K,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not,IoT
502,"Transfer learning in ML models.Humans are really good at generalizing. We only have to see a few dogs before we can recognize a dog when we see one.Machines are not. ML models require millions of examples before forming a reliable classifier, and that classifier is very specific to the data on which it was trained. If your training data doesn't include dogs with three legs, the model won't recognize them. A machine that plays Go is useless at checkers.Transfer learning is the ability to apply a model from one domain to a different one. It's hypothesized that the reason humans learn so quicklyTransfer learning in ML models.Humans are really good at generalizing. We only have to see a few dogs before we can recognize a dog when we see one.Machines are not. ML models require millions of examples before forming a reliable classifier, and that classifier is very specific to the data on which it was trained. If your training data doesn't include dogs with three legs, the model won't recognize them. A machine that plays Go is useless at checkers.Transfer learning is the ability to apply a model from one domain to a different one. It's hypothesized that the reason humans learn so quickly is that we are fitting new examples into our existing knowledge rather than forming entirely new categories. If we could teach machines to do the same, they would learn exponentially faster and apply that learning more effectively.Transfer learning is a very hot topic in AI research right now, so I expect major breakthroughs in the next few years. I think this may be sufficient to achieve artificial general intelligence, but even if not, it will dramatically extend the range of tasks that machines can accomplish.","45,200 followers",David Seidman,999,3.6K,82.9M,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not,IoT
503,"50 years is aLong distance travel will be by hyperloop or aircraft/rocket. Hyperloop is very efficient and fast, but limited to fixed routes. Earth- and space-bound craft will use similar propulsion (see below), and the main differences will be details like whether things are designed for low gravity.We'll have autonomous personal multirotor aircraft (drones). We have the technology today but the energy50 years is aLong distance travel will be by hyperloop or aircraft/rocket. Hyperloop is very efficient and fast, but limited to fixed routes. Earth- and space-bound craft will use similar propulsion (see below), and the main differences will be details like whether things are designed for low gravity.We'll have autonomous personal multirotor aircraft (drones). We have the technology today but the energy costs are extreme.Cheap clean energy changes everything and simplyTravel to space will be somewhat routine thanks to a space elevator and/or nuclear rockets. Both technologies need one scientific breakthrough and then a bunch of engineering. The main problem will be that there isn't actually all that much reason for most people to go to space: science, tourism, satellite maintenance, perhaps a bit of asteroid mining. Humanity will launch the first interstellar probes and generally begin considering interstellar travel.There will be a small colony on Mars similar to today's on Antarctica, mostly for research, and to satisfy the human desire to explore. You'll be able to visit, but the price will be incredible and few people will do so.AI will be roughly as smart as humans, and robots will do most of the jobs humans do today. Most things will be very cheap, but only high end engineers and artists will be able to find work. A basic income policy will have been introduced long before, and it will support most of the population. By 50 years from now this will seem perfectly normal. The few people who work will get benefits like waterfront homes and private resorts, along with extreme prestige. (This is the utopian version. I also have a dystopian version, but I'm in a good mood today.)Entertainment will be fully immersive. You won't be able to tell it's not real. You might even be able to erase the memory that you're in a program, so that you think you're really there. Maybe you're in a program right now and don't even know it. Say hi to the robots for me when you wake up.","45,200 followers",David Seidman,999,3.6K,82.9M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
504,Faster elevators capable of moving sideways.Faster elevators capable of moving sideways.,"4,975 followers",Bobby Tatro,3.9K,2.1K,44.7M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
505,"the only answer I can give you is that in that time frame just think how much tech has upgraded in the last 20 years smart phones, smart TVs I truly have no idea what kind of tech we will have most likely I’m can easily see that it’ll be somewhere between cyberpunk and blade runner with a hint of minority report haha",2 followers,Phillip Jensen,9,0,0,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
506,"Well, the first question will be:How will global warming have affected the world in 50 years? More land will be submerged, and desertified, so the net available and livable land for humans will have decreased.Population however will still have increasedTechnologies we will see:Well, the first question will be:How will global warming have affected the world in 50 years? More land will be submerged, and desertified, so the net available and livable land for humans will have decreased.Population however will still have increasedTechnologies we will see:Other new technologies will be new evolutions of current technologies:Examples are:These are just a few examples. You could go on, and on …All the best!How can we imagine the world 50 years from now in terms of technology use?",1 follower,Frank Robertson,9,585,1.2M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
507,Go back to 1971 and describe in detail present day internet tablet computers and smartphones.Now do the same thing for common everyday technology of 2071.,"2,454 followers",Edward Lafreniere,99,12.2K,2M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,foundation
508,"When you’re writing a cover letter, the little things can make a big difference. The better your letter is, the better your chances are of getting a job interview. Follow these tips for composing a winning cover letter, and you will increase your chances of landing the job you want.Research and brainstormBefore you start writing your cover letter, familiarize yourself with the role requirements. Read the job listing carefully and pull out the most important information. Then, spend time on the company’s website to get a strong sense of the company’s culture, values, and mission. Brainstorm theWhen you’re writing a cover letter, the little things can make a big difference. The better your letter is, the better your chances are of getting a job interview. Follow these tips for composing a winning cover letter, and you will increase your chances of landing the job you want.Research and brainstormBefore you start writing your cover letter, familiarize yourself with the role requirements. Read the job listing carefully and pull out the most important information. Then, spend time on the company’s website to get a strong sense of the company’s culture, values, and mission. Brainstorm the most effective way to communicate your suitability for the role in your cover letter. Brainstorming is a key part of thePersonalize your greetingThe first thing the recruiter or hiring manager will notice in your cover letter is whether you addressed it to them personally. It’s not always easy to find the recruiter’s or hiring manager’s name, but it’s always worth your time to directly address the person who will be making the hiring decision.Grab the reader’s attentionYour cover letter needs to grab attention within the first sentence or two. Remember, the recruiter is going to be reading lots of cover letters that will contain pretty similar content. If your cover letter doesn’t captivate them from the get-go, you could get overlooked.Show your enthusiasm about the roleThroughout your cover letter, use language that communicates your passion for the kind of work you do. YourSign up for a free","2,405 followers",Grammarly,999,0,0,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
509,20 years from today...20 years from today...,18 followers,Asim Qureshi,17K,994,150.5M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
511,"The best option for finding a long-term stream of great remote development jobs isThe best option for finding a long-term stream of great remote development jobs isHere’s what some of Toptal’s top freelancers have said about the way Toptal has improved their work-life balance and given them access to fulfilling projects:“Toptal takes the hassle out of freelancing - I never worry about client discovery, engagement, and workplace integration issues. Instead, I get to",39 followers,Carolina Silva,2.2K,0,0,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,foundation
512,A very slow and controlled evolution in order to maximize profits.,27 followers,Georg Feneberg,9,384,76.4K,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
513,"It is said that the bold predictions of futurists before the millennium have not come true. Smart robot servants or flying cars of the 2000s have not appeared as we saw in the famous animated sitcom ""The Jetsons"" in the 1970s. However, recent technological developments show that we will be able to make predictions much more easily in the coming years. It is possible to say that these predictions will be true to a large extent.A group comprising of academicians and futurists in the U.K. have contemplated on what the world will be like 50 years later in 2069. This group prepared a report under tIt is said that the bold predictions of futurists before the millennium have not come true. Smart robot servants or flying cars of the 2000s have not appeared as we saw in the famous animated sitcom ""The Jetsons"" in the 1970s. However, recent technological developments show that we will be able to make predictions much more easily in the coming years. It is possible to say that these predictions will be true to a large extent.A group comprising of academicians and futurists in the U.K. have contemplated on what the world will be like 50 years later in 2069. This group prepared a report under the sponsorship of Samsung and shared its results. Here are 10 predictions for the future world:Underground roads:Underground skyscrapers:Self-cleaning houses:Space hotels:3D organs:Bug-burger takeaways:Flying buses or cabs:Body implants:4D air sports:Interactive virtual reality films:Adapting marketing strategies to artificial intelligence",6 followers,Michael Morse,9,0,0,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
514,It is to happen in next 10–15 years. Compare our forecasting withIt is to happen in next 10–15 years. Compare our forecasting with,"3,167 followers",Kiryl Persianov,9,2.4K,2.5M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
515,All of this is just my wishful thinking.,55 followers,Albert Hsieh,9,3.7K,1.6M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
516,"Nuclear fusion reactors. The cost of living declines by 25 percent. A four day work week becomes the norm.Cancer vaccines eliminate all known forms of cancer. CRSPR gene editing eliminates all diseases.Direct brain interfaces with the Quantum Internet. All online knowledge is available by thought.The average lifespan is 200 years. As a result, there are substantially fewer marriages and children.Every household has a 3-D printer to make whatever is needed, including clothes and electronic equipment. Everything it makes can be reduced back to it basic materials, and recycled.","2,052 followers",Doug Hilton,9,15.3K,7.8M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,IoT
519,"This February my wife was diagnosed and given six months to live. When I heard the doctor tell her “six months”, it felt likeI met my wife, Jess, twenty-one years ago when she was nineteen.Our parents owned side-by-side cabins in the northern part of New York and we both happened to be along for the week-long hunting trip our fathers planned that year.Jess' father was a skilled hunter and could hit a headshot from a mile away — same as my dad.Jess and I didn't hunt with them — we hung out by the lake.The moment I saw Jess I fell in lThis February my wife was diagnosed and given six months to live. When I heard the doctor tell her “six months”, it felt likeI met my wife, Jess, twenty-one years ago when she was nineteen.Our parents owned side-by-side cabins in the northern part of New York and we both happened to be along for the week-long hunting trip our fathers planned that year.Jess' father was a skilled hunter and could hit a headshot from a mile away — same as my dad.Jess and I didn't hunt with them — we hung out by the lake.The moment I saw Jess I fell in love. We've been together ever since.But now, now that she has an expiration date, I just don't know what to do — I'm scared and lost.Monday morning at work I was telling my best friend and supervisor, Timmy, about my wife's condition. Timmy told me that I.T. or Intelligent Terrestrial just came out with their latest models.These models are different than those of yesteryear because they are 52% mechanical and 48% biological.Timmy said all you have to do is mail a sample of DNA to I.T. and upload a digital copy of your consciousness through an app. You can then purchase a custom made clone at an age of your choice. When the clone arrives it will turn on, study it's surroundings and await a consciousness download.“Oh my God Timmy, what's the catch?”“The price, Leon.”When I got home from work, Jess and I plugged in and uploaded a digital copy of our entire conscious catalog to I.T. and then mailed off DNA samples.Jess asked me what age I wanted her to be. It felt awkward to say “twenty”, but I did it — I was honest. I miss her smooth, youthful skin and I want her to be young and healthy — especially if I have to cash my entire 401K in to afford it.We told her parents that we were going to basically bring her back from the dead and her father threatened to shoot any abomination that we brought into this world.One month later, on a day that Jess was particularly ill, the doorbell rang.Jess and I dragged the box through the door and laid it on the living room floor. I gently cut along the lines and when I opened the flaps, there,she,was.The last time my heart fluttered like this was the day I met her.Jess helped me lift I.T. out of the box and sit I.T. up.I.T. was warm and soft. I.T. was mine. I paid for I.T. I own I.T.Machines like this don't have rights — even though they are part biological, the governments recognize them in the same way they would a lawnmower — so, as I said, I.T. is my possession.The science behind uploading a digital consciousness is so cutting edge, that the laws just haven't caught up yet.Jess turned I.T. on and I.T. looked right into my eyes. I was in love — with two women, but, it was the same woman. We hadn't uploaded Jess' consciousness yet, so, I.T. was running on basic programming, but I.T. was gorgeous.Jess asked me what I wanted to do, and for the first time in a very long time — I lied to her.I told her we should go shopping and buy I.T. some clothes.I.T. doesn't seem to have a personality yet.“Hello…. Smile…”Jess picked outfits for both of them and we went for a walk through the park together. It was amazing — I was so happy.We walked down a cozy little trail and found a tuck away to sit and talk.I.T. watched and studied every move Jess and I made. I.T. was learning and adapting.I.T. was becoming aware.At one point Jess and I got distracted and I.T. wandered off. When we found I.T., I.T. was gazing at the sky.I asked I.T. what it was doing. I.T. said, “Where do I come from?”“You come from Heaven. You are my angel.”That answer seemed to work for I.T. We all walked back to the car and headed home.When we got home, Jess immediately started coughing. She fell to the ground and I tried to help her, but I didn't know what to do.Jess passed away right then. It was finally over.I called her family and the police. It took an hour for them to remove the body. I had Jess 2.0 sitting in my back room waiting for them to leave.After the police left, I plugged I.T. into my laptop and downloaded Jess' consciousness.After the download was complete, we walked outside and I looked into her gigantic brown eyes. I asked her, “Is it you, Jess?”She smiled and said, “It is, silly — now kiss me.”Her head slammed back. I didn't know if she was glitching or what and then I heard a bang and saw a hole above her left eye.My beautiful Jessica died twice today. I was crushed.Over the next two decades, I fell into a deep, dark, alcohol-fueled depression. Although I had developed a serious alcohol problem, I was able to work and save every single penny I earned.After twenty years of saving, I decided I wanted both of them back — the twenty-year-old Jess and the forty-year-old Jess.I sent my entire life savings off to I.T. and in one month, my doorbell rang.I cut the box open and wept when I saw my angel(s).I turned them on.I also clothed them. The younger version of me may have left them in the nude, but at this age, I just want my companion(s) back.The ladies helped me back to my room to lay down. I was so tired from all the excitement.I've waited and worked an entire lifetime to be with the woman I love. And now, at long last — she is beside me.I died, on that very night as a happy man.One day later, the doorbell rang. It seems my beautiful Jessicas used my direct deposit life insurance benefit to make a purchase.They gently cut the box open.And turned me on.You ask where technology will be in 2050?We will be everywhere.LeonSpecial thanks:Cameron — Dear friend. Thank you so much for all your help with bringing this idea to life. You are awesome. I'm proud to call you friend.Kinsalynn — My sister and friend. Your help with makeup and photography was an absolute godsend — thank you so much. I love and appreciate you. P.S. you took over 300 pictures in an eight hour span. Thank you from the bottom of my heart:)Brooke — Even with a bullet hole in the head, you are deliciously gorgeous. You spent eight hours modeling for my Quora answer today and never once did you fail to impress or inspire me. I am honored to be friends with you.Jess —",4 followers,Leon Brennan,24.9K,693,21.1M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,Hyperloop
537,I 1 cashless -economy2 class-less society3 mindless- activity4 fruitless- education5 father less children5 teacher less class rooms6 books less education7 waterless cities8 moral less sports ( cricket World Cup 2019).9 boundary less countries10 humanity- less human11 statesmanship- less politicians12 mindless War13 visa less tourism14 loveless relationships15 energy less economy’s16 fuel less cars17 gender less society18 green less environment19 religion -less society2o life-less existence21 labour-less economy22 powerless kingdom23 oil less gulf24 corruption less society.25 sugar less food anI 1 cashless -economy2 class-less society3 mindless- activity4 fruitless- education5 father less children5 teacher less class rooms6 books less education7 waterless cities8 moral less sports ( cricket World Cup 2019).9 boundary less countries10 humanity- less human11 statesmanship- less politicians12 mindless War13 visa less tourism14 loveless relationships15 energy less economy’s16 fuel less cars17 gender less society18 green less environment19 religion -less society2o life-less existence21 labour-less economy22 powerless kingdom23 oil less gulf24 corruption less society.25 sugar less food and drinks26 cloth-less celebrities27 rich but happy-less society28 longevity but health-less life29 soulless body30 gun-less America31 food- less Africa32 paper-less works33 plastic-less society34 terrorists centre-less Pakistan,19 followers,Alok Tripathi,99,326,2.8M,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,VR
547,"Collin's answer has a key point. I've read recent articles that point out that the very size of our brains, which is really what makes us what we are, are only possible due to having cooked meat available due to their high energy consumption.Cooked meat (and cooked vegetables most likely) makes much more of the nutrition value of the food readily available since it is effectively pre-digesting the food and breaking down bonds our body would otherwise have to expend energy doing itself.Effectively that allowed humankind to evolve into its current state of culture and sapience, so you can't realCollin's answer has a key point. I've read recent articles that point out that the very size of our brains, which is really what makes us what we are, are only possible due to having cooked meat available due to their high energy consumption.Cooked meat (and cooked vegetables most likely) makes much more of the nutrition value of the food readily available since it is effectively pre-digesting the food and breaking down bonds our body would otherwise have to expend energy doing itself.Effectively that allowed humankind to evolve into its current state of culture and sapience, so you can't really ever take technology out of the human evolutionary equation.It will be interesting to see what society decides is an acceptable level of genetic modification, especially stem-line cells. We are definitely allowing to breed those that 'nature' would haveMost interesting to me is that high achievers in contemporary human culture are likely to have the smallest number of offspring. That inversion of natural selection is more concerning to me than the allowance of previously unfit breeders to propagate.",60 followers,Mark Stewart,99,0,0,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,cloud
548,"This is hard to predict, but the current trend is for machines to do more of the work. So I would predict that lower level work will be dominated by machines, and that would include driving as well, even farm equipment.",3 followers,Robert Heilman,9,5.3K,569.9K,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,Li-Fi
580,"Artificial Intelligence will grow with advanced self-coding capabilities and the biological and digital integration will advance.Most people think huge robots and machines running around but that is not likely to happen. As years go by the cost of resources will increase; global population will increase; food and water will be limited. That is why miniaturization will continue to grow in all technological developments and human beings who have the money will seek super human capabilities, creating a start of a new class of the human race.Memory chips/disks will be biological, computer interfacArtificial Intelligence will grow with advanced self-coding capabilities and the biological and digital integration will advance.Most people think huge robots and machines running around but that is not likely to happen. As years go by the cost of resources will increase; global population will increase; food and water will be limited. That is why miniaturization will continue to grow in all technological developments and human beings who have the money will seek super human capabilities, creating a start of a new class of the human race.Memory chips/disks will be biological, computer interface will be biological based, the advancement of biological processing will be at an early stage.",22 followers,John Mofomme,0,123,104.2K,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,Maglev
599,"We will be on the way to building intersteller spacecraft capable of travelling at many times the speed of light. But this future is being held up by delusional beliefs, which are not based on science.",0 followers,Tatsiana Isakova,0,216,282.3K,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years,smartphones
